sequence_id,xgb1_probability,xgb2_probability,xgb1_prediction,xgb2_prediction,final_prediction,final_confidence
ECK120010515 RPOHP3 REVERSE 3600870 SIGMA24 STRONG,0.91355926,0.96812826,1,1,1,0.96812826
ECK120010580 RSEAP3 REVERSE 2709632 SIGMA24 STRONG,0.6182912,0.36660635,1,0,1,0.6182912
ECK120010009 RSEPP FORWARD 196470 SIGMA24 STRONG,0.9751394,0.7228283,1,1,1,0.9751394
ECK120016712 RUTRP FORWARD 1074134 SIGMA24 STRONG,0.50271446,0.3383824,1,0,1,0.50271446
ECK120030786 RYBBP REVERSE 888057 SIGMA24 STRONG,0.7549767,0.5643663,1,1,1,0.7549767
ECK120009967 SBMAP FORWARD 396553 SIGMA24 STRONG,0.034782954,0.70215535,0,1,1,0.70215535
ECK120033256 WZAP2 REVERSE 2137193 SIGMA24 STRONG,0.624198,0.8839969,1,1,1,0.8839969
ECK120009963 YBABP FORWARD 493709 SIGMA24 STRONG,0.6475716,0.95606565,1,1,1,0.95606565
ECK120016584 YBFHP REVERSE 716641 SIGMA24 STRONG,0.61995715,0.7630182,1,1,1,0.7630182
ECK120016714 YDHIP FORWARD 1720998 SIGMA24 STRONG,0.99487644,0.96829784,1,1,1,0.99487644
ECK120016565 YFEKP FORWARD 2537315 SIGMA24 STRONG,0.5273067,0.62500536,1,1,1,0.62500536
ECK120010000 YGGNP1 REVERSE 3101798 SIGMA24 STRONG,0.7557314,0.14853767,1,0,1,0.7557314
ECK120010002 YGIMP FORWARD 3201104 SIGMA24 STRONG,0.15277614,0.62958163,0,1,1,0.62958163
ECK120033257 YIAKP2 FORWARD 3742720 SIGMA24 STRONG,0.8372894,0.84837824,1,1,1,0.84837824
ECK120016718 YICJP REVERSE 3836664 SIGMA24 STRONG,0.46373674,0.5441839,0,1,1,0.5441839
ECK120016709 YIEEP FORWARD 3893829 SIGMA24 STRONG,0.7260814,0.6804524,1,1,1,0.7260814
ECK120009970 YIISP FORWARD 4112869 SIGMA24 STRONG,0.6044353,0.7862762,1,1,1,0.7862762
ECK120010007 YQJAP2 FORWARD 3247643 SIGMA24 STRONG,0.5949028,0.5644616,1,1,1,0.5949028
ECK120016576 YRAPP2 FORWARD 3296072 SIGMA24 STRONG,0.7956553,0.6497623,1,1,1,0.7956553
ECK120010568 FLIAP2 REVERSE 2001808 SIGMA28 STRONG,0.5885823,0.95692515,1,1,1,0.95692515
ECK120010634 FLILP2 FORWARD 2019595 SIGMA28 STRONG,0.7058673,0.9879298,1,1,1,0.9879298
ECK120015403 HEMLP REVERSE 174921 SIGMA28 STRONG,0.9397618,0.86946017,1,1,1,0.9397618
ECK120009889 TSRP FORWARD 4591633 SIGMA28 STRONG,0.32231796,0.66243386,0,1,1,0.66243386
ECK125136603 YBFAP8 FORWARD 729082 SIGMA28 STRONG,0.70716965,0.97156966,1,1,1,0.97156966
ECK120016343 BSSSP2 REVERSE 1121032 SIGMA32 STRONG,0.6926295,0.51712835,1,1,1,0.6926295
ECK120033609 CANP REVERSE 142703 SIGMA32 STRONG,0.9834869,0.9303999,1,1,1,0.9834869
ECK120010365 CLPBP REVERSE 2734205 SIGMA32 STRONG,0.8951516,0.6582006,1,1,1,0.8951516
ECK120033625 CREAP2 FORWARD 4635243 SIGMA32 STRONG,0.9979723,0.9955699,1,1,1,0.9979723
ECK120010272 DNAKP1 FORWARD 12048 SIGMA32 STRONG,0.9792462,0.60824305,1,1,1,0.9792462
ECK120010273 DNAKP2 FORWARD 12123 SIGMA32 STRONG,0.96716577,0.15810111,1,0,1,0.96716577
ECK120009900 FXSAP FORWARD 4368603 SIGMA32 STRONG,0.88426304,0.84409744,1,1,1,0.88426304
ECK120033614 GLNSP2 FORWARD 705999 SIGMA32 STRONG,0.9932715,0.9679167,1,1,1,0.9932715
ECK120010058 GROSP FORWARD 4370616 SIGMA32 STRONG,0.90791315,0.68511766,1,1,1,0.90791315
ECK120010367 GRPEP REVERSE 2750747 SIGMA32 STRONG,0.56724244,0.28721744,1,0,1,0.56724244
ECK120033631 HEPAP2 REVERSE 63588 SIGMA32 STRONG,0.84266084,0.93334854,1,1,1,0.93334854
ECK120033624 HOLCP REVERSE 4484273 SIGMA32 STRONG,0.7547493,0.52684563,1,1,1,0.7547493
ECK120010336 HTPXP REVERSE 1912618 SIGMA32 STRONG,0.99788517,0.94772696,1,1,1,0.99788517
ECK120010456 IBPAP REVERSE 3867518 SIGMA32 STRONG,0.56906337,0.81101555,1,1,1,0.81101555
ECK120033608 ILESP3 FORWARD 22229 SIGMA32 STRONG,0.46552113,0.7710222,0,1,1,0.7710222
ECK120033622 LAPAP1 FORWARD 1340135 SIGMA32 STRONG,0.409221,0.9260605,0,1,1,0.9260605
ECK120010455 LONP FORWARD 458815 SIGMA32 STRONG,0.99779236,0.9927361,1,1,1,0.99779236
ECK120010136 METAP1 FORWARD 4214233 SIGMA32 STRONG,0.8895809,0.4094149,1,0,1,0.8895809
ECK120033729 MIAAP2 FORWARD 4398982 SIGMA32 STRONG,0.0095038125,0.54528916,0,1,1,0.54528916
ECK120033727 MUTLP2 FORWARD 4397046 SIGMA32 STRONG,0.8821441,0.9752966,1,1,1,0.9752966
ECK120010082 MUTMP REVERSE 3811175 SIGMA32 STRONG,0.952518,0.88348854,1,1,1,0.952518
ECK120033612 NARPP FORWARD 2290422 SIGMA32 STRONG,0.99594986,0.99252135,1,1,1,0.99594986
ECK120033626 NFUAP2 FORWARD 3545458 SIGMA32 STRONG,0.8767871,0.80292696,1,1,1,0.8767871
ECK120033613 PNCCP REVERSE 2824394 SIGMA32 STRONG,0.69757783,0.56336606,1,1,1,0.69757783
ECK120033618 PRLCP REVERSE 3645238 SIGMA32 STRONG,0.9679844,0.6454914,1,1,1,0.9679844
ECK120033709 RAIAP FORWARD 2737104 SIGMA32 STRONG,0.5178201,0.81317526,1,1,1,0.81317526
ECK120033635 RDGBP FORWARD 3096620 SIGMA32 STRONG,0.44265902,0.6561196,0,1,1,0.6561196
ECK120010388 RLMEP2 REVERSE 3327731 SIGMA32 STRONG,0.92534924,0.9243406,1,1,1,0.92534924
ECK120033628 RNLAP FORWARD 2765906 SIGMA32 STRONG,0.6692911,0.94267726,1,1,1,0.94267726
ECK120010458 RRSBP1 FORWARD 4166367 SIGMA32 STRONG,0.8942034,0.3740131,1,0,1,0.8942034
ECK120009872 RRSDP1 REVERSE 3429047 SIGMA32 STRONG,0.91199297,0.95554227,1,1,1,0.95554227
ECK120009870 RRSHP1 FORWARD 223485 SIGMA32 STRONG,0.98940176,0.9208452,1,1,1,0.98940176
ECK120011047 SDAAP FORWARD 1896809 SIGMA32 STRONG,0.8025036,0.20165779,1,0,1,0.8025036
ECK120010491 TOPAP1 FORWARD 1330980 SIGMA32 STRONG,0.35834932,0.58848166,0,1,1,0.58848166
ECK120010437 TRMAP REVERSE 4163295 SIGMA32 STRONG,0.99080724,0.99611855,1,1,1,0.99611855
ECK120033633 XERDP REVERSE 3039851 SIGMA32 STRONG,0.9772396,0.9340936,1,1,1,0.9772396
ECK120033632 YAFDP FORWARD 231064 SIGMA32 STRONG,0.69463694,0.9471426,1,1,1,0.9471426
ECK120033619 YBEDP REVERSE 662706 SIGMA32 STRONG,0.9585539,0.85374326,1,1,1,0.9585539
ECK120033620 YBEZP REVERSE 693469 SIGMA32 STRONG,0.69603103,0.8216551,1,1,1,0.8216551
ECK120033617 YHDNP REVERSE 3439546 SIGMA32 STRONG,0.595023,0.88580316,1,1,1,0.88580316
ECK120010249 ADHEP1 REVERSE 1298413 SIGMA38,0.9986572,0.84158087,1,1,1,0.9986572
ECK120010740 ADHEP2 REVERSE 1298309 SIGMA38,0.9955479,0.986466,1,1,1,0.9955479
ECK120010200 ALDBP REVERSE 3756535 SIGMA38,0.984478,0.9555353,1,1,1,0.984478
ECK125138137 APPYP2 FORWARD 583656 SIGMA38,0.9983015,0.98738873,1,1,1,0.9983015
ECK125138135 ARAFP2 REVERSE 1986148 SIGMA38,0.61324435,0.35207787,1,0,1,0.61324435
ECK120034543 ARTPP1 REVERSE 903815 SIGMA38,0.4419083,0.6194009,0,1,1,0.6194009
ECK120034544 ARTPP2 REVERSE 903836 SIGMA38,0.7946734,0.9903561,1,1,1,0.9903561
ECK120009899 ASRP FORWARD 1671327 SIGMA38,0.9796442,0.99319494,1,1,1,0.99319494
ECK120010732 CFAP1 FORWARD 1741201 SIGMA38,0.9987166,0.9708657,1,1,1,0.9987166
ECK120010733 CFAP2 FORWARD 1741379 SIGMA38,0.81041944,0.08155004,1,0,1,0.81041944
ECK120033636 CRLP1 FORWARD 257810 SIGMA38,0.941093,0.44289073,1,0,1,0.941093
ECK120010359 CRRPI FORWARD 2535610 SIGMA38,0.9988532,0.9954015,1,1,1,0.9988532
ECK120010480 CSGDP1 REVERSE 1103344 SIGMA38,0.9535101,0.6585472,1,1,1,0.9535101
ECK120009988 CSIDP FORWARD 2788927 SIGMA38,0.9943932,0.99647,1,1,1,0.99647
ECK120034290 CSRAP3 REVERSE 2819273 SIGMA38,0.99896634,0.88638693,1,1,1,0.99896634
ECK120034309 DKGAP FORWARD 3156571 SIGMA38,0.41990173,0.63649637,0,1,1,0.63649637
ECK120010409 DNANP1 REVERSE 3882733 SIGMA38,0.9430309,0.46621093,1,0,1,0.9430309
ECK120010408 DNANP2 REVERSE 3882590 SIGMA38,0.14850312,0.53128505,0,1,1,0.53128505
ECK120034936 ECNBP FORWARD 4376509 SIGMA38,0.85097986,0.7417681,1,1,1,0.85097986
ECK120015388 EVGAP1 FORWARD 2483641 SIGMA38,0.9988085,0.9979709,1,1,1,0.9988085
ECK120010152 FADLP FORWARD 2461205 SIGMA38,0.99238974,0.9790829,1,1,1,0.99238974
ECK120010260 FTSQP1 FORWARD 102867 SIGMA38,0.59498394,0.3047601,1,0,1,0.59498394
ECK120010550 FTSQP2 FORWARD 102742 SIGMA38,0.7915876,0.8959374,1,1,1,0.8959374
ECK120010708 GADAP REVERSE 3667607 SIGMA38,0.54205215,0.6386726,1,1,1,0.6386726
ECK120010707 GADBP REVERSE 1572072 SIGMA38,0.3525698,0.95984316,0,1,1,0.95984316
ECK120010087 GADEP FORWARD 3658345 SIGMA38,0.864687,0.64363164,1,1,1,0.864687
ECK120010049 GADEP1 FORWARD 3658242 SIGMA38,0.9120491,0.99547344,1,1,1,0.99547344
ECK120009924 GADXP REVERSE 3665839 SIGMA38,0.9353229,0.8294635,1,1,1,0.9353229
ECK120010089 GADYP FORWARD 3664864 SIGMA38,0.99831855,0.9985965,1,1,1,0.9985965
ECK120010511 GLGSP1 REVERSE 3192012 SIGMA38,0.19413266,0.7400804,0,1,1,0.7400804
ECK120009989 GMRP REVERSE 1346843 SIGMA38,0.57748294,0.38307917,1,0,1,0.57748294
ECK125138138 GPMMP2 FORWARD 3785187 SIGMA38,0.955821,0.9378772,1,1,1,0.955821
ECK120030783 HCHAP2 FORWARD 2035630 SIGMA38,0.9664946,0.7506035,1,1,1,0.9664946
ECK120010767 HDEAP REVERSE 3656791 SIGMA38,0.7317156,0.18389387,1,0,1,0.7317156
ECK120010232 IHFAP4 REVERSE 1795721 SIGMA38,0.88754016,0.51238734,1,1,1,0.88754016
ECK120010233 IHFBP FORWARD 963749 SIGMA38,0.5752025,0.5939239,1,1,1,0.5939239
ECK125138133 INSC-5P FORWARD 3186040 SIGMA38,0.9364465,0.94737333,1,1,1,0.94737333
ECK125138134 INSN-1P FORWARD 270226 SIGMA38,0.5245305,0.62516457,1,1,1,0.62516457
ECK120022001 IRADP2 FORWARD 4556856 SIGMA38,0.8494633,0.5987991,1,1,1,0.8494633
ECK120010333 KATEP FORWARD 1813814 SIGMA38,0.9976464,0.9958931,1,1,1,0.9976464
ECK125134701 LUXSP1 REVERSE 2815065 SIGMA38,0.98693454,0.9916671,1,1,1,0.9916671
ECK120015420 MSYBP REVERSE 1114213 SIGMA38,0.9911874,0.95795643,1,1,1,0.9911874
ECK120009983 NHAAP2 FORWARD 17317 SIGMA38,0.49088386,0.9893092,0,1,1,0.9893092
ECK120011008 OMPFP REVERSE 987092 SIGMA38,0.84584683,0.7910671,1,1,1,0.84584683
ECK120010475 OSMBP1 REVERSE 1343476 SIGMA38,0.9919653,0.9722305,1,1,1,0.9919653
ECK120010489 OSMCP2 FORWARD 1556606 SIGMA38,0.79090554,0.6392871,1,1,1,0.79090554
ECK120010077 OSMFP REVERSE 2219523 SIGMA38,0.9381534,0.9896018,1,1,1,0.9896018
ECK120015396 OTSBP2 REVERSE 1982442 SIGMA38,0.66114765,0.33942467,1,0,1,0.66114765
ECK120011009 OXYRP FORWARD 4158457 SIGMA38,0.94541854,0.9983627,1,1,1,0.9983627
ECK125137791 PANZP7 FORWARD 3597958 SIGMA38,0.99215925,0.9952259,1,1,1,0.9952259
ECK120009956 PATAP FORWARD 3219458 SIGMA38,0.65612584,0.49534768,1,0,1,0.65612584
ECK125122034 PCNBP4 REVERSE 159391 SIGMA38,0.733422,0.47236684,1,0,1,0.733422
ECK120015423 PFKBP2 FORWARD 1806323 SIGMA38,0.56610185,0.9865557,1,1,1,0.9865557
ECK120010737 POXBP REVERSE 911076 SIGMA38,0.9903937,0.9923862,1,1,1,0.9923862
ECK125138136 PPKP FORWARD 2622977 SIGMA38,0.8071899,0.55892134,1,1,1,0.8071899
ECK120010554 PROPP2 FORWARD 4330407 SIGMA38,0.9911409,0.99666315,1,1,1,0.99666315
ECK120049204 PUUAP REVERSE 1360968 SIGMA38,0.26261538,0.924744,0,1,1,0.924744
ECK125138129 PUUCP FORWARD 1362728 SIGMA38,0.5500141,0.25799665,1,0,1,0.5500141
ECK120034217 PUUDP FORWARD 1361052 SIGMA38,0.9989774,0.9694417,1,1,1,0.9989774
ECK120034239 PYKFP2 FORWARD 1755600 SIGMA38,0.99807477,0.9973024,1,1,1,0.99807477
ECK125241002 RPOEP4 REVERSE 2710230 SIGMA38,0.979397,0.98748636,1,1,1,0.98748636
ECK120029519 RRAAP REVERSE 4119358 SIGMA38,0.7884035,0.86498934,1,1,1,0.86498934
ECK120010768 RSDP1 REVERSE 4196954 SIGMA38,0.8183915,0.46092018,1,0,1,0.8183915
ECK120016351 RSSAP FORWARD 1289106 SIGMA38,0.99289554,0.939024,1,1,1,0.99289554
ECK120030811 RYJAP REVERSE 4278066 SIGMA38,0.99985135,0.9997272,1,1,1,0.99985135
ECK125230253 SDSNP2 FORWARD 1996880 SIGMA38,0.9992663,0.481454,1,0,1,0.9992663
ECK120032979 SDSRP REVERSE 1923207 SIGMA38,0.2138816,0.5513184,0,1,1,0.5513184
ECK120034237 SODCP REVERSE 1724679 SIGMA38,0.9316032,0.9736974,1,1,1,0.9736974
ECK120010376 SPEBP REVERSE 3083946 SIGMA38,0.9950537,0.94439006,1,1,1,0.9950537
ECK120009984 SRAP REVERSE 1556046 SIGMA38,0.33148023,0.9831898,0,1,1,0.9831898
ECK120034945 SSRSP2 FORWARD 3055759 SIGMA38,0.94845885,0.9332982,1,1,1,0.94845885
ECK120010171 SUCAP FORWARD 758586 SIGMA38,0.57943666,0.33386526,1,0,1,0.57943666
ECK120033646 TAMP FORWARD 1607221 SIGMA38,0.8873188,0.8232749,1,1,1,0.8873188
ECK120034938 TOLCP4 FORWARD 3178074 SIGMA38,0.9803169,0.97295535,1,1,1,0.9803169
ECK125138130 TREFP FORWARD 3669551 SIGMA38,0.9706755,0.97652256,1,1,1,0.97652256
ECK120009874 USPBP REVERSE 3639848 SIGMA38,0.9337479,0.5951377,1,1,1,0.9337479
ECK120034197 WRBAP REVERSE 1067758 SIGMA38,0.95395976,0.9405419,1,1,1,0.95395976
ECK120010738 XTHAP FORWARD 1832399 SIGMA38,0.9992218,0.9947525,1,1,1,0.9992218
ECK120034391 YABIP FORWARD 71271 SIGMA38,0.87840706,0.39721736,1,0,1,0.87840706
ECK120010498 YADVP2 REVERSE 156224 SIGMA38,0.880891,0.855148,1,1,1,0.880891
ECK120010703 YBGAP1 FORWARD 738980 SIGMA38,0.9945808,0.9969112,1,1,1,0.9969112
ECK120015425 YBJPP REVERSE 904523 SIGMA38,0.8921312,0.6154929,1,1,1,0.8921312
ECK125109145 YCGZP FORWARD 1215752 SIGMA38,0.9991334,0.98909074,1,1,1,0.9991334
ECK125138131 YCITP REVERSE 1344510 SIGMA38,0.6965496,0.34031206,1,0,1,0.6965496
ECK125095197 YDDGP REVERSE 1547205 SIGMA38,0.98626536,0.9866788,1,1,1,0.9866788
ECK120034542 YDHYP REVERSE 1754642 SIGMA38,0.849194,0.8812702,1,1,1,0.8812702
ECK120010621 YEILP FORWARD 2255290 SIGMA38,0.9954912,0.9868339,1,1,1,0.9954912
ECK125138132 YFFOP FORWARD 2562053 SIGMA38,0.45335886,0.817751,0,1,1,0.817751
ECK120015426 YGGEP1 REVERSE 3068126 SIGMA38,0.96041155,0.9089139,1,1,1,0.96041155
ECK120033652 YHJGP REVERSE 3678412 SIGMA38,0.118129656,0.7806213,0,1,1,0.7806213
ECK120015415 YIAGP FORWARD 3719431 SIGMA38,0.9590021,0.9462852,1,1,1,0.9590021
ECK125145770 YJIYP REVERSE 4591367 SIGMA38,0.88779753,0.114296675,1,0,1,0.88779753
ECK120015416 YTFKP FORWARD 4439511 SIGMA38,0.9791414,0.9801994,1,1,1,0.9801994
ECK120011038 FDHFP REVERSE 4299407 SIGMA54 STRONG,0.9801261,0.99215734,1,1,1,0.99215734
ECK120032981 GLMYP1 REVERSE 2691340 SIGMA54 STRONG,0.9804465,0.57496107,1,1,1,0.9804465
ECK120010268 GLNAP2 REVERSE 4058107 SIGMA54 STRONG,0.035080492,0.67965853,0,1,1,0.67965853
ECK120010230 GLNHP2 REVERSE 848047 SIGMA54 STRONG,0.9505551,0.95713174,1,1,1,0.95713174
ECK120010211 HYCAP REVERSE 2850461 SIGMA54 STRONG,0.613672,0.761399,1,1,1,0.761399
ECK120010719 HYDNP REVERSE 2838132 SIGMA54 STRONG,0.70970523,0.12978503,1,0,1,0.70970523
ECK120010759 HYFAP FORWARD 2601171 SIGMA54 STRONG,0.8326729,0.20731814,1,0,1,0.8326729
ECK120010212 HYPAP FORWARD 2850627 SIGMA54 STRONG,0.5890014,0.778136,1,1,1,0.778136
ECK120010741 NACP REVERSE 2061978 SIGMA54 STRONG,0.62810045,0.58417225,1,1,1,0.62810045
ECK120009904 PSPAP FORWARD 1368038 SIGMA54 STRONG,0.93424296,0.80312103,1,1,1,0.93424296
ECK120010682 RTCBP REVERSE 3558107 SIGMA54 STRONG,0.5970928,0.375032,1,0,1,0.5970928
ECK125095450 XDHAP2 FORWARD 3000265 SIGMA54 STRONG,0.20801044,0.5255309,0,1,1,0.5255309
ECK120010467 ACCAP FORWARD 208411 SIGMA70 STRONG,0.5670318,0.87959546,1,1,1,0.87959546
ECK120010469 ACCBP FORWARD 3405140 SIGMA70 STRONG,0.81143576,0.53507745,1,1,1,0.81143576
ECK120010470 ACCDP REVERSE 2434015 SIGMA70 STRONG,0.9278185,0.58734345,1,1,1,0.9278185
ECK120010987 ACEBP FORWARD 4215402 SIGMA70 STRONG,0.9609297,0.8702943,1,1,1,0.9609297
ECK120010670 ACNAP2 FORWARD 1335781 SIGMA70 STRONG,0.9891879,0.97153354,1,1,1,0.9891879
ECK120010671 ACNBP FORWARD 131519 SIGMA70 STRONG,0.9883145,0.95444167,1,1,1,0.9883145
ECK120010720 ACPPP FORWARD 1151575 SIGMA70 STRONG,0.80403537,0.07803446,1,0,1,0.80403537
ECK120010736 ACRAP REVERSE 485698 SIGMA70 STRONG,0.9965084,0.9779292,1,1,1,0.9965084
ECK125158030 ACRZP FORWARD 794751 SIGMA70 STRONG,0.9999778,0.9878655,1,1,1,0.9999778
ECK120009981 ACSP2 REVERSE 4287391 SIGMA70 STRONG,0.9852632,0.98007375,1,1,1,0.9852632
ECK125134720 ADEP FORWARD 3843910 SIGMA70 STRONG,0.92692834,0.9526499,1,1,1,0.9526499
ECK120010095 AGARP REVERSE 3278703 SIGMA70,0.84352654,0.8562356,1,1,1,0.8562356
ECK120010096 AGASP FORWARD 3281889 SIGMA70 STRONG,0.8952678,0.7879379,1,1,1,0.8952678
ECK120010147 AHPCP FORWARD 638921 SIGMA70 STRONG,0.99921536,0.991582,1,1,1,0.99921536
ECK120051395 AHPCP2 FORWARD 638693 SIGMA70 STRONG,0.793267,0.8713487,1,1,1,0.8713487
ECK120010163 AIDBP FORWARD 4414247 SIGMA70 STRONG,0.566475,0.21607845,1,0,1,0.566475
ECK120010673 ALDAP FORWARD 1488190 SIGMA70 STRONG,0.60970294,0.8102538,1,1,1,0.8102538
ECK120010029 ALSRP1 REVERSE 4313132 SIGMA70 STRONG,0.689128,0.95481277,1,1,1,0.95481277
ECK120010445 AMPCP REVERSE 4379003 SIGMA70 STRONG,0.99069726,0.9612118,1,1,1,0.99069726
ECK120011026 ANSBP2 REVERSE 3100751 SIGMA70 STRONG,0.7491873,0.50900406,1,1,1,0.7491873
ECK120030797 APTP FORWARD 491310 SIGMA70 STRONG,0.7054007,0.88958746,1,1,1,0.88958746
ECK120010108 ARABP REVERSE 70075 SIGMA70 STRONG,0.70310515,0.2899413,1,0,1,0.70310515
ECK120010148 ARAEP REVERSE 2982208 SIGMA70 STRONG,0.53716093,0.17179276,1,0,1,0.53716093
ECK120010166 ARAFP REVERSE 1986238 SIGMA70 STRONG,0.511645,0.89529616,1,1,1,0.89529616
ECK120010167 ARAJP REVERSE 412529 SIGMA70 STRONG,0.5469304,0.112467945,1,0,1,0.5469304
ECK120010655 ARCAP1 REVERSE 4640508 SIGMA70 STRONG,0.99889475,0.9875244,1,1,1,0.99889475
ECK120010698 ARCAP5 REVERSE 4640681 SIGMA70 STRONG,0.7665933,0.81332856,1,1,1,0.81332856
ECK125137740 ARFAP3 REVERSE 3438673 SIGMA70 STRONG,0.98359585,0.84610754,1,1,1,0.98359585
ECK120010989 ARGCP FORWARD 4154885 SIGMA70 STRONG,0.9316359,0.9856719,1,1,1,0.9856719
ECK120010177 ARGDP REVERSE 3490221 SIGMA70 STRONG,0.99266076,0.9973322,1,1,1,0.9973322
ECK120010109 ARGEP1 REVERSE 4154897 SIGMA70 STRONG,0.8651935,0.9254556,1,1,1,0.9254556
ECK120010991 ARGIP REVERSE 4478344 SIGMA70 STRONG,0.99914587,0.99460465,1,1,1,0.99914587
ECK120010110 ARGRP1 FORWARD 3384677 SIGMA70 STRONG,0.89125323,0.7664223,1,1,1,0.89125323
ECK120010992 AROFP REVERSE 2741201 SIGMA70 STRONG,0.9983057,0.9930949,1,1,1,0.9983057
ECK120010994 AROHP1 FORWARD 1788318 SIGMA70 STRONG,0.14087541,0.5541127,0,1,1,0.5541127
ECK120029297 AROHP2 FORWARD 1788384 SIGMA70 STRONG,0.99492943,0.96596164,1,1,1,0.99492943
ECK120010642 AROKP1 REVERSE 3519380 SIGMA70 STRONG,0.8798793,0.98699397,1,1,1,0.98699397
ECK120010643 AROKP2 REVERSE 3519167 SIGMA70 STRONG,0.9387283,0.8972927,1,1,1,0.9387283
ECK120010995 AROLP FORWARD 406280 SIGMA70 STRONG,0.99649733,0.9979614,1,1,1,0.9979614
ECK120010996 AROPP1 REVERSE 121671 SIGMA70 STRONG,0.3446732,0.8405197,0,1,1,0.8405197
ECK120015421 ARTPP REVERSE 903769 SIGMA70 STRONG,0.9290287,0.95294034,1,1,1,0.95294034
ECK120016938 ASCFP FORWARD 2839429 SIGMA70 STRONG,0.52261204,0.8291985,1,1,1,0.8291985
ECK120010179 ASNCP REVERSE 3927031 SIGMA70 STRONG,0.9955581,0.90810204,1,1,1,0.9955581
ECK120010218 ASPAP REVERSE 4368432 SIGMA70 STRONG,0.88345855,0.90294504,1,1,1,0.90294504
ECK120010417 ATPIP REVERSE 3922525 SIGMA70 STRONG,0.99104345,0.96218294,1,1,1,0.99104345
ECK125140837 AZORP REVERSE 1482904 SIGMA70 STRONG,0.97707045,0.9160273,1,1,1,0.97707045
ECK125095432 AZUCP REVERSE 1988001 SIGMA70 STRONG,0.9983315,0.87682533,1,1,1,0.9983315
ECK120010674 BCPPFORWARD 2600437 SIGMA70 STRONG,0.65893555,0.1271235,1,0,1,0.65893555
ECK125203424 BCSEP2 FORWARD 3696443 SIGMA70 STRONG,0.9962984,0.99127686,1,1,1,0.9962984
ECK120010181 BETIP REVERSE 329361 SIGMA70 STRONG,0.5793576,0.14450546,1,0,1,0.5793576
ECK120010182 BETTP FORWARD 329421 SIGMA70 STRONG,0.9977424,0.96105194,1,1,1,0.9977424
ECK125137742 BFRP3 REVERSE 3466749 SIGMA70 STRONG,0.44992498,0.5434249,0,1,1,0.5434249
ECK125136764 BHSAP9 FORWARD 1169019 SIGMA70 STRONG,0.9997451,0.9969332,1,1,1,0.9997451
ECK120034206 BLURP REVERSE 1214113 SIGMA70 STRONG,0.99331045,0.9938415,1,1,1,0.9938415
ECK120027939 BOLAP2 FORWARD 454349 SIGMA70 STRONG,0.6884748,0.34268287,1,0,1,0.6884748
ECK120010438 BTUBP FORWARD 4163399 SIGMA70 STRONG,0.99496824,0.9673265,1,1,1,0.99496824
ECK120010564 CADBP REVERSE 4360106 SIGMA70 STRONG,0.99648786,0.9895587,1,1,1,0.99648786
